Time,Vel_X,Vel_Y,Vel_Z,Total
111.366000,-0.042815,-0.067542,-0.054309,0.096667
111.583000,0.049155,-0.064251,0.052915,0.096667
111.797000,0.038387,0.013263,0.087721,0.096667
112.013000,-0.000866,0.014334,0.095594,0.096667
112.232000,-0.085457,0.042599,0.015061,0.096667
112.451000,-0.084514,0.039552,-0.025247,0.096667
112.670000,-0.058191,0.058289,-0.050602,0.096667
112.888000,0.063784,0.016517,-0.070734,0.096667
113.095000,0.064088,0.003715,-0.072273,0.096667
113.315000,0.037140,0.010781,-0.088594,0.096667
113.532000,0.055909,0.038157,-0.069012,0.096667
113.744000,0.085446,0.045200,-0.000567,0.096667
113.965000,0.044421,0.040124,-0.075903,0.096667
114.180000,-0.092195,-0.000773,-0.029051,0.096667
114.397000,-0.055544,-0.001592,0.079100,0.096667
114.606000,-0.045747,0.002003,0.085133,0.096667
114.833000,-0.081851,0.002356,0.051375,0.096667
115.047000,-0.081858,0.005135,0.051160,0.096667
115.267000,-0.045118,0.012425,0.084584,0.096667
